stage,win_rate,avg_steps,var_steps,avg_reward,var_reward
20000,0.2553,16.4522,64.0321,42.238,3700.8
40000,0.2577,14.8117,26.2028,43.4206,3658.3
60000,0.2778,14.8015,26.7127,45.7309,3832.25
80000,0.35715,14.856,26.3922,55.3579,4339.97
100000,0.34495,14.8927,27.1862,53.9013,4256.43
120000,0.3388,14.735,26.1323,53.0993,4242.17
140000,0.33255,14.8595,26.2119,52.3866,4193.23
160000,0.33595,14.7461,25.2109,52.6352,4201.69
180000,0.36495,14.8869,26.8729,55.9114,4332.68
200000,0.34225,14.6461,25.2524,53.412,4244
220000,0.345,14.7078,24.7653,53.6579,4267.92
240000,0.4085,14.6648,24.205,61.1286,4548.04
260000,0.3993,14.7451,24.3693,60.0799,4506.24
280000,0.4086,14.7093,24.1984,61.1558,4552.71
300000,0.41145,14.5935,24.6607,61.3036,4538.91
320000,0.4089,14.8861,27.0674,61.1129,4539.16
340000,0.39475,14.5154,23.6165,59.5531,4484.99
360000,0.49315,15.2417,25.734,71.4228,4613.16
380000,0.50545,15.1349,25.3109,72.6309,4647.91
400000,0.52675,15.2866,24.8497,75.5641,4561.88
420000,0.52805,15.1788,23.7046,75.8939,4599.28
440000,0.54575,15.1883,24.2478,78.0512,4588.47
460000,0.53445,15.4059,27.2246,76.352,4592.99
480000,0.5434,15.3817,25.0793,77.8669,4570.02
500000,0.58145,15.4535,25.2428,82.2965,4491.16
520000,0.58435,15.28,23.7009,82.3848,4470.52
540000,0.5882,15.2869,24.4415,82.9111,4463.89
560000,0.57295,15.5381,26.6581,80.9617,4515.1
580000,0.5751,15.542,26.5525,81.611,4517.54
600000,0.55205,15.4654,26.1829,78.6908,4544.95
620000,0.5787,15.2886,25.2463,81.8158,4495.71
640000,0.5771,15.6287,28.5072,81.4391,4476.65
660000,0.57305,15.3666,24.3522,81.2208,4491.07
680000,0.58905,15.4809,26.0882,82.8627,4470.79
700000,0.60535,15.3685,25.3057,84.8413,4377.75
720000,0.5955,15.5063,25.9721,83.7188,4439.11
740000,0.56485,15.4834,25.1987,80.1324,4537.16
760000,0.59735,15.4722,26.5998,84.1081,4443.67
780000,0.572,15.2804,24.4558,80.9112,4502.09
800000,0.59605,15.2492,23.5311,83.7792,4442.65
820000,0.58275,15.4561,25.285,82.1249,4473.97
840000,0.5911,15.5724,27.4578,82.7571,4438.44
860000,0.587,15.3451,25.2152,82.2737,4425.81
880000,0.5872,15.5019,26.0219,82.1789,4429.56
900000,0.6046,15.3488,24.8288,84.2199,4378.52
920000,0.6083,15.2573,23.7456,85.1228,4368.09
940000,0.5829,15.3253,24.5544,81.9921,4447.52
960000,0.59965,15.2921,24.4787,84.1056,4398.22
980000,0.60225,15.5964,27.2536,83.7555,4385.4
1000000,0.61395,15.4383,25.1418,85.6071,4361.72
